,,,,,,Total of Displayed Rows,,,"145,106,561","691,533","145,798,094","147,609,685","65,462,721","213,072,406","219,868,448","124,897,313","344,765,761",
Account,Account Title,Organization,Budget Activity,Budget Activity Title,Line Number,PE/BLI,Program Element/Budget Line Item (BLI) Title,Include In TOA,FY 2025 Actuals,FY 2025 Reconciliation,FY 2025 Total,FY 2026 Discretionary Enacted,FY 2026 PL 119-21 Spend Plan,FY 2026 Total,FY 2027 Discretionary Request,FY 2027 Mandatory Request,FY 2027 Total,Classification
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,80,0604100A,Analysis Of Alternatives,Y,"10,824",,"10,824","9,865",,"9,865","10,077",,"10,077",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,81,0604101A,Small Unmanned Aerial Vehicle (SUAV) (6.4),Y,"1,734",,"1,734",,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,82,0604103A,Electronic Warfare Planning and Management Tool (EWPMT),Y,"2,004",,"2,004",,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,83,0604113A,Future Tactical Unmanned Aircraft System (FTUAS),Y,"127,870",,"127,870",,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,84,0604114A,Lower Tier Air Missile Defense (LTAMD) Sensor,Y,"122,777",,"122,777","192,045",,"192,045","162,074",,"162,074",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,85,0604115A,Technology Maturation Initiatives,Y,"256,806",,"256,806","324,432","29,300","353,732","314,671",,"314,671",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,86,0604117A,Maneuver - Short Range Air Defense (M-SHORAD),Y,"264,521",,"264,521","236,149","60,150","296,299","460,980",,"460,980",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,87,0604120A,"Assured Positioning, Navigation and Timing (PNT)",Y,"20,969",,"20,969","8,686",,"8,686","18,993",,"18,993",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,88,0604121A,Synthetic Training Environment Refinement & Prototyping,Y,"110,937",,"110,937","176,657",,"176,657","219,137",,"219,137",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,89,0604129A,Advanced Power Applications,Y,,,,,"5,000","5,000","48,000",,"48,000",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,90,0604134A,"Counter Improvised-Threat Demonstration, Prototype Development, and Testing",Y,"10,613",,"10,613","5,491",,"5,491",,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,91,0604135A,Strategic Mid-Range Fires,Y,,,,"226,215",,"226,215","211,848",,"211,848",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,92,0604182A,Hypersonics,Y,,,,"25,000",,"25,000","82,939","40,000","122,939",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,93,0604386A,Biotechnology for Materials - Dem/Val,Y,"10,262",,"10,262",,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,94,0604403A,Future Interceptor,Y,"7,764",,"7,764",,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,96,0604531A,Counter - Small Unmanned Aircraft Systems Advanced Development,Y,"77,794",,"77,794","45,281",,"45,281",,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,98,0604541A,Unified Network Transport,Y,"30,675",,"30,675","29,191",,"29,191",,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,99,0305251A,Cyberspace Operations Forces and Force Support,Y,"2,270",,"2,270","5,605",,"5,605","22,889",,"22,889",U
2040A,"Research, Development, Test and Evaluation, Army",,04,Advanced component development and prototypes,999,9999999999,Classified Programs,Y,"281,270",,"281,270","203,746","25,000","228,746","261,466",,"261,466",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,100,0604201A,Aircraft Avionics,Y,"6,909",,"6,909","17,696",,"17,696","30,658",,"30,658",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,101,0604270A,Electronic Warfare Development,Y,"28,706",,"28,706","9,153",,"9,153","2,807",,"2,807",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,102,0604601A,Infantry Support Weapons,Y,"55,767",,"55,767","77,653",,"77,653","55,296",,"55,296",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,103,0604604A,Medium Tactical Vehicles,Y,"3,435",,"3,435","18,503",,"18,503","23,763",,"23,763",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,104,0604611A,JAVELIN,Y,"10,025",,"10,025","9,810",,"9,810","10,217",,"10,217",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,105,0604622A,Family of Heavy Tactical Vehicles,Y,"33,424",,"33,424","38,664",,"38,664","43,003",,"43,003",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,106,0604633A,Air Traffic Control,Y,946,,946,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,107,0604641A,Tactical Unmanned Ground Vehicle (TUGV),Y,"89,162",,"89,162",,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,108,0604642A,Light Tactical Wheeled Vehicles,Y,"5,058",,"5,058",,,,"6,142",,"6,142",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,109,0604645A,Armored Systems Modernization (ASM) - Eng Dev,Y,"46,341",,"46,341",,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,110,0604710A,Night Vision Systems - Eng Dev,Y,"134,589",,"134,589","461,274",,"461,274","418,427",,"418,427",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,111,0604713A,"Combat Feeding, Clothing, and Equipment",Y,"3,195",,"3,195","5,654",,"5,654","6,701",,"6,701",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,112,0604715A,Non-System Training Devices - Eng Dev,Y,"23,337",,"23,337","19,063",,"19,063","29,685",,"29,685",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,113,0604741A,"Air Defense Command, Control and Intelligence - Eng Dev",Y,"71,111",,"71,111","13,892","43,300","57,192","14,276",,"14,276",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,114,0604742A,Constructive Simulation Systems Development,Y,"28,616",,"28,616","7,790",,"7,790","5,618",,"5,618",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,115,0604746A,Automatic Test Equipment Development,Y,"12,455",,"12,455","9,512",,"9,512","9,625",,"9,625",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,116,0604760A,Distributive Interactive Simulations (DIS) - Eng Dev,Y,"8,589",,"8,589","7,724",,"7,724","7,883",,"7,883",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,117,0604798A,"Brigade Analysis, Integration and Evaluation",Y,"26,584",,"26,584","24,318",,"24,318","26,602",,"26,602",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,118,0604802A,Weapons and Munitions - Eng Dev,Y,"232,181",,"232,181","156,844",,"156,844","124,881",,"124,881",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,119,0604804A,Logistics and Engineer Equipment - Eng Dev,Y,"45,302",,"45,302","61,194",,"61,194","65,238",,"65,238",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,120,0604805A,"Command, Control, Communications Systems - Eng Dev",Y,"88,931",,"88,931","63,725",,"63,725","5,541",,"5,541",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,121,0604807A,Medical Materiel/Medical Biological Defense Equipment - Eng Dev,Y,"6,955",,"6,955","16,252",,"16,252","9,744",,"9,744",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,122,0604808A,Landmine Warfare/Barrier - Eng Dev,Y,"49,348",,"49,348","72,532",,"72,532","17,586",,"17,586",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,123,0604818A,Army Tactical Command & Control Hardware & Software,Y,"129,265",,"129,265","429,164","3,450","432,614","42,584",,"42,584",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,124,0604820A,Radar Development,Y,"40,066",,"40,066","53,226","14,000","67,226","58,260",,"58,260",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,125,0604822A,General Fund Enterprise Business System (GFEBS),Y,"1,922",,"1,922",,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,126,0604827A,Soldier Systems - Warrior Dem/Val,Y,"28,069",,"28,069","4,137","22,587","26,724","5,663",,"5,663",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,127,0604852A,Suite of Survivability Enhancement Systems - EMD,Y,"75,022",,"75,022","75,180",,"75,180","78,331",,"78,331",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,128,0604854A,Artillery Systems - EMD,Y,"40,929",,"40,929","76,767",,"76,767","709,192",,"709,192",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,129,0605013A,Information Technology Development,Y,"92,084",,"92,084","124,247",,"124,247","121,525",,"121,525",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,130,0605018A,Integrated Personnel and Pay System-Army (IPPS-A),Y,"116,925",,"116,925","160,912",,"160,912","102,694",,"102,694",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,131,0605030A,Joint Tactical Network Center (JTNC),Y,"19,454",,"19,454","20,954",,"20,954","21,561",,"21,561",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,132,0605031A,Joint Tactical Network (JTN),Y,"30,075",,"30,075","41,696",,"41,696","50,390",,"50,390",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,133,0605035A,Common Infrared Countermeasures (CIRCM),Y,"11,261",,"11,261","12,789",,"12,789","11,573",,"11,573",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,134,0605036A,Combating Weapons of Mass Destruction (CWMD),Y,"7,560",,"7,560","13,322",,"13,322","5,605",,"5,605",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,135,0605037A,Evidence Collection and Detainee Processing,Y,,,,"4,619",,"4,619","5,513",,"5,513",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,136,0605038A,Nuclear Biological Chemical Reconnaissance Vehicle (NBCRV) Sensor Suite,Y,"7,598",,"7,598","13,459",,"13,459","13,864",,"13,864",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,137,0605041A,Defensive CYBER Tool Development,Y,"4,176",,"4,176","3,611",,"3,611","3,519",,"3,519",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,138,0605042A,Tactical Network Radio Systems (Low-Tier),Y,"4,131",,"4,131","3,222",,"3,222","3,804",,"3,804",U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,139,0605047A,Contract Writing System,Y,"8,937",,"8,937","8,101",,"8,101","4,777",,"4,777",U
